inst#,actual,predicted,error,prediction
131,2:1,2:1,,0.81
132,2:1,2:1,,0.592
133,2:1,1:0,+,0.971
134,2:1,2:1,,0.638
135,2:1,2:1,,0.563
136,2:1,2:1,,1
137,2:1,2:1,,0.724
138,2:1,2:1,,0.801
139,2:1,2:1,,0.965
140,2:1,2:1,,0.617
141,2:1,1:0,+,0.719
142,2:1,2:1,,0.99
143,2:1,2:1,,0.94
144,2:1,1:0,+,0.53
145,2:1,2:1,,0.942
146,2:1,1:0,+,0.901
147,2:1,1:0,+,0.598
148,2:1,2:1,,0.98
149,2:1,2:1,,0.99
150,2:1,2:1,,1
151,2:1,2:1,,0.791
152,2:1,2:1,,0.942
153,2:1,2:1,,0.742
154,2:1,1:0,+,0.53
155,2:1,2:1,,1
1,1:0,1:0,,1
2,1:0,1:0,,0.96
3,1:0,1:0,,0.96
4,1:0,2:1,+,0.53
5,1:0,1:0,,0.96
6,1:0,1:0,,0.855
7,1:0,1:0,,0.783
8,1:0,2:1,+,0.804
9,1:0,1:0,,0.94
10,1:0,1:0,,0.99
11,1:0,1:0,,0.9
12,1:0,1:0,,0.96
13,1:0,1:0,,0.995
14,1:0,1:0,,0.794
15,1:0,1:0,,0.81
16,1:0,1:0,,0.96
17,1:0,1:0,,0.96
18,1:0,1:0,,0.91
19,1:0,2:1,+,0.531
20,1:0,1:0,,0.839
21,1:0,1:0,,1
22,1:0,1:0,,0.96
23,1:0,1:0,,0.96
24,1:0,1:0,,0.906
25,1:0,1:0,,0.88
26,1:0,1:0,,0.51
27,1:0,1:0,,0.959
28,1:0,1:0,,1
29,1:0,1:0,,0.96
30,1:0,1:0,,0.945
31,1:0,1:0,,0.96
32,1:0,1:0,,0.756
33,1:0,2:1,+,0.69
34,1:0,1:0,,0.969
35,1:0,1:0,,0.991
36,1:0,1:0,,0.976
37,1:0,1:0,,1
38,1:0,1:0,,1
39,1:0,1:0,,0.96
40,1:0,2:1,+,0.673
41,1:0,1:0,,0.93
42,1:0,1:0,,0.99
43,1:0,1:0,,0.59
44,1:0,1:0,,0.96
45,1:0,1:0,,0.99
46,1:0,1:0,,0.95
47,1:0,1:0,,0.988
48,1:0,1:0,,0.595
49,1:0,1:0,,0.97
50,1:0,1:0,,1
51,1:0,1:0,,0.989
52,1:0,1:0,,0.806
53,1:0,1:0,,0.978
54,1:0,1:0,,0.96
55,1:0,1:0,,0.97
56,1:0,1:0,,0.86
57,1:0,1:0,,0.96
58,1:0,1:0,,0.956
59,1:0,1:0,,0.96
60,1:0,1:0,,0.96
61,1:0,1:0,,0.97
62,1:0,1:0,,0.937
63,1:0,1:0,,0.826
64,1:0,1:0,,0.818
65,1:0,1:0,,0.925
66,1:0,1:0,,0.824
67,1:0,1:0,,0.906
68,1:0,1:0,,0.93
69,1:0,1:0,,0.67
70,1:0,1:0,,0.96
71,1:0,1:0,,0.96
72,1:0,1:0,,0.98
73,1:0,1:0,,0.96
74,1:0,1:0,,0.82
75,1:0,1:0,,0.96
76,1:0,2:1,+,0.95
77,1:0,1:0,,0.96
78,1:0,1:0,,0.85
79,1:0,2:1,+,0.58
80,1:0,1:0,,0.913
81,1:0,1:0,,0.96
82,1:0,1:0,,0.96
83,1:0,1:0,,1
84,1:0,1:0,,0.823
85,1:0,1:0,,0.949
86,1:0,1:0,,0.54
87,1:0,1:0,,0.877
88,1:0,1:0,,0.96
89,1:0,1:0,,0.97
90,1:0,1:0,,0.847
91,1:0,1:0,,0.906
92,2:1,1:0,+,0.51
93,2:1,2:1,,0.973
94,2:1,2:1,,0.97
95,2:1,2:1,,0.849
96,2:1,2:1,,1
97,2:1,2:1,,1
98,2:1,2:1,,0.622
99,2:1,2:1,,0.861
100,2:1,2:1,,0.89
101,2:1,2:1,,0.962
102,2:1,2:1,,0.971
103,2:1,2:1,,0.95
104,2:1,2:1,,1
105,2:1,2:1,,0.59
106,2:1,2:1,,0.79
107,2:1,1:0,+,0.798
108,2:1,2:1,,0.962
109,2:1,2:1,,1
110,2:1,2:1,,0.734
111,2:1,2:1,,0.901
112,2:1,2:1,,0.661
113,2:1,1:0,+,0.536
114,2:1,1:0,+,0.598
115,2:1,2:1,,0.946
116,2:1,2:1,,0.82
117,2:1,1:0,+,0.634
118,2:1,1:0,+,0.53
119,2:1,2:1,,0.65
120,2:1,2:1,,0.627
121,2:1,2:1,,0.89
122,2:1,2:1,,0.872
123,2:1,2:1,,0.962
124,2:1,1:0,+,0.881
125,2:1,1:0,+,0.651
126,2:1,2:1,,1
127,2:1,2:1,,0.531
128,2:1,2:1,,0.962
129,2:1,2:1,,1
130,2:1,2:1,,0.73
131,2:1,2:1,,0.655
132,2:1,2:1,,1
133,2:1,2:1,,0.95
134,2:1,2:1,,0.962
135,2:1,1:0,+,0.913
136,2:1,2:1,,1
137,2:1,2:1,,1
138,2:1,2:1,,0.943
139,2:1,2:1,,0.928
140,2:1,2:1,,0.684
141,2:1,2:1,,1
142,2:1,2:1,,0.958
143,2:1,2:1,,0.85
144,2:1,2:1,,0.962
145,2:1,2:1,,0.666
146,2:1,2:1,,0.52
147,2:1,2:1,,0.98
148,2:1,2:1,,0.92
149,2:1,1:0,+,0.58
150,2:1,2:1,,1
151,2:1,2:1,,0.615
152,2:1,2:1,,1
153,2:1,2:1,,0.91
154,2:1,2:1,,0.817
155,2:1,1:0,+,0.788
1,1:0,1:0,,0.61
2,1:0,1:0,,0.71
3,1:0,1:0,,0.962
4,1:0,1:0,,0.962
5,1:0,1:0,,0.962
6,1:0,1:0,,0.796
7,1:0,1:0,,0.53
8,1:0,1:0,,0.977
9,1:0,1:0,,1
10,1:0,1:0,,0.848
11,1:0,1:0,,0.83
12,1:0,1:0,,0.769
13,1:0,1:0,,1
14,1:0,1:0,,0.962
15,1:0,1:0,,0.868
16,1:0,1:0,,0.85
17,1:0,1:0,,0.769
18,1:0,1:0,,0.76
19,1:0,1:0,,0.962
20,1:0,1:0,,0.838
21,1:0,1:0,,0.858
22,1:0,1:0,,0.962
23,1:0,1:0,,0.962
24,1:0,1:0,,0.929
25,1:0,1:0,,0.6
26,1:0,1:0,,0.906
27,1:0,1:0,,0.957
28,1:0,1:0,,1
29,1:0,1:0,,0.937
30,1:0,1:0,,0.962
31,1:0,1:0,,0.959
32,1:0,1:0,,0.657
33,1:0,1:0,,0.608
34,1:0,1:0,,0.953
35,1:0,1:0,,0.614
36,1:0,1:0,,0.607
37,1:0,1:0,,0.91
38,1:0,1:0,,0.962
39,1:0,1:0,,0.962
40,1:0,1:0,,0.962
41,1:0,1:0,,0.939
42,1:0,1:0,,0.992
43,1:0,1:0,,0.91
44,1:0,1:0,,1
45,1:0,1:0,,0.962
46,1:0,2:1,+,0.585
47,1:0,1:0,,0.885
48,1:0,1:0,,0.958
49,1:0,1:0,,0.871
50,1:0,2:1,+,0.751
51,1:0,2:1,+,0.95
52,1:0,1:0,,0.962
53,1:0,1:0,,0.962
54,1:0,1:0,,0.962
55,1:0,1:0,,0.71
56,1:0,1:0,,0.93
57,1:0,1:0,,1
58,1:0,1:0,,1
59,1:0,1:0,,0.977
60,1:0,1:0,,0.899
61,1:0,1:0,,0.677
62,1:0,1:0,,0.828
63,1:0,1:0,,0.93
64,1:0,1:0,,1
65,1:0,1:0,,0.962
66,1:0,1:0,,0.962
67,1:0,1:0,,0.88
68,1:0,1:0,,0.962
69,1:0,1:0,,0.642
70,1:0,1:0,,0.865
71,1:0,1:0,,0.962
72,1:0,1:0,,0.959
73,1:0,1:0,,0.679
74,1:0,1:0,,0.697
75,1:0,1:0,,0.83
76,1:0,1:0,,0.962
77,1:0,1:0,,0.558
78,1:0,1:0,,0.928
79,1:0,1:0,,0.899
80,1:0,1:0,,0.962
81,1:0,1:0,,0.99
82,1:0,1:0,,0.929
83,1:0,1:0,,0.898
84,1:0,1:0,,0.922
85,1:0,1:0,,0.988
86,1:0,1:0,,0.976
87,1:0,1:0,,0.754
88,1:0,1:0,,0.962
89,1:0,1:0,,0.778
90,1:0,1:0,,0.994
91,1:0,1:0,,0.99
92,2:1,2:1,,0.888
93,2:1,2:1,,0.666
94,2:1,2:1,,1
95,2:1,2:1,,0.74
96,2:1,2:1,,0.95
97,2:1,2:1,,0.79
98,2:1,2:1,,0.84
99,2:1,2:1,,0.67
100,2:1,2:1,,1
101,2:1,2:1,,0.578
102,2:1,2:1,,0.722
103,2:1,2:1,,0.971
104,2:1,2:1,,0.97
105,2:1,1:0,+,0.575
106,2:1,2:1,,0.76
107,2:1,2:1,,0.921
108,2:1,2:1,,0.95
109,2:1,2:1,,0.845
110,2:1,2:1,,0.979
111,2:1,2:1,,0.95
112,2:1,2:1,,0.745
113,2:1,2:1,,0.539
114,2:1,2:1,,1
115,2:1,2:1,,0.965
116,2:1,1:0,+,0.54
117,2:1,2:1,,0.64
118,2:1,2:1,,0.98
119,2:1,2:1,,0.95
120,2:1,1:0,+,0.962
121,2:1,2:1,,0.99
122,2:1,2:1,,0.98
123,2:1,2:1,,0.646
124,2:1,2:1,,0.532
125,2:1,1:0,+,0.65
126,2:1,1:0,+,0.639
127,2:1,2:1,,0.781
128,2:1,1:0,+,0.701
129,2:1,1:0,+,0.794
130,2:1,2:1,,0.939
131,2:1,1:0,+,0.64
132,2:1,2:1,,0.563
133,2:1,1:0,+,0.748
134,2:1,1:0,+,0.62
135,2:1,2:1,,1
136,2:1,2:1,,0.82
137,2:1,2:1,,0.99
138,2:1,2:1,,1
139,2:1,2:1,,0.626
140,2:1,2:1,,0.99
141,2:1,2:1,,0.584
142,2:1,2:1,,0.835
143,2:1,1:0,+,0.929
144,2:1,2:1,,0.928
145,2:1,2:1,,0.744
146,2:1,2:1,,0.962
147,2:1,2:1,,1
148,2:1,1:0,+,0.511
149,2:1,2:1,,0.622
150,2:1,2:1,,0.99
151,2:1,2:1,,0.85
152,2:1,2:1,,0.839
153,2:1,2:1,,0.778
154,2:1,2:1,,0.938
155,2:1,2:1,,1
1,1:0,1:0,,0.746
2,1:0,1:0,,0.909
3,1:0,1:0,,0.979
4,1:0,1:0,,0.994
5,1:0,1:0,,0.866
6,1:0,1:0,,0.969
7,1:0,1:0,,0.969
8,1:0,1:0,,0.668
9,1:0,1:0,,0.55
10,1:0,1:0,,0.874
11,1:0,1:0,,0.908
12,1:0,1:0,,0.905
13,1:0,1:0,,0.969
14,1:0,1:0,,0.969
15,1:0,1:0,,1
16,1:0,1:0,,1
17,1:0,1:0,,0.969
18,1:0,1:0,,0.916
19,1:0,1:0,,0.948
20,1:0,1:0,,0.878
21,1:0,1:0,,0.873
22,1:0,1:0,,0.98
23,1:0,1:0,,0.969
24,1:0,1:0,,0.99
25,1:0,1:0,,0.969
26,1:0,1:0,,0.501
27,1:0,1:0,,0.905
28,1:0,1:0,,0.969
29,1:0,1:0,,1
30,1:0,1:0,,0.886
31,1:0,1:0,,0.969
32,1:0,1:0,,0.595
33,1:0,1:0,,0.969
34,1:0,1:0,,0.969
35,1:0,1:0,,0.938
36,1:0,1:0,,0.89
37,1:0,1:0,,0.812
38,1:0,1:0,,0.969
39,1:0,1:0,,0.63
40,1:0,1:0,,0.938
41,1:0,1:0,,0.96
42,1:0,1:0,,0.969
43,1:0,1:0,,0.969
44,1:0,1:0,,0.99
45,1:0,1:0,,0.896
46,1:0,1:0,,0.969
47,1:0,1:0,,0.89
48,1:0,1:0,,0.979
49,1:0,1:0,,0.995
50,1:0,1:0,,0.969
51,1:0,1:0,,0.874
52,1:0,1:0,,0.949
53,1:0,1:0,,0.905
54,1:0,1:0,,0.839
55,1:0,1:0,,0.729
56,1:0,1:0,,0.863
57,1:0,1:0,,1
58,1:0,2:1,+,0.89
59,1:0,1:0,,0.969
60,1:0,1:0,,0.803
61,1:0,1:0,,0.969
62,1:0,1:0,,0.97
63,1:0,1:0,,0.925
64,1:0,1:0,,0.972
65,1:0,1:0,,0.969
66,1:0,1:0,,0.969
67,1:0,1:0,,0.969
68,1:0,1:0,,0.944
69,1:0,1:0,,0.99
70,1:0,1:0,,0.926
71,1:0,1:0,,0.969
72,1:0,1:0,,0.969
73,1:0,2:1,+,0.86
74,1:0,1:0,,0.969
75,1:0,1:0,,0.889
76,1:0,1:0,,0.969
77,1:0,1:0,,0.996
78,1:0,1:0,,0.969
79,1:0,1:0,,0.71
80,1:0,1:0,,1
81,1:0,1:0,,0.969
82,1:0,1:0,,0.969
83,1:0,1:0,,0.91
84,1:0,1:0,,0.57
85,1:0,1:0,,0.969
86,1:0,1:0,,0.969
87,1:0,1:0,,0.97
88,1:0,1:0,,0.99
89,1:0,1:0,,0.96
90,1:0,1:0,,0.969
91,1:0,1:0,,0.77
92,2:1,2:1,,1
93,2:1,2:1,,1
94,2:1,2:1,,0.964
95,2:1,1:0,+,0.737
96,2:1,2:1,,1
97,2:1,2:1,,0.71
98,2:1,2:1,,0.795
99,2:1,2:1,,0.801
100,2:1,2:1,,0.888
101,2:1,2:1,,1
102,2:1,2:1,,0.964
103,2:1,2:1,,0.59
104,2:1,2:1,,0.857
105,2:1,2:1,,0.891
106,2:1,2:1,,0.98
107,2:1,2:1,,1
108,2:1,2:1,,1
109,2:1,2:1,,0.97
110,2:1,2:1,,0.77
111,2:1,2:1,,0.689
112,2:1,2:1,,0.912
113,2:1,2:1,,0.98
114,2:1,1:0,+,0.67
115,2:1,2:1,,1
116,2:1,2:1,,0.626
117,2:1,1:0,+,0.65
118,2:1,2:1,,0.841
119,2:1,1:0,+,0.969
120,2:1,2:1,,0.65
121,2:1,2:1,,1
122,2:1,2:1,,0.507
123,2:1,1:0,+,0.653
124,2:1,2:1,,1
125,2:1,2:1,,0.931
126,2:1,2:1,,0.551
127,2:1,2:1,,0.964
128,2:1,2:1,,0.83
129,2:1,1:0,+,0.899
130,2:1,2:1,,0.964
131,2:1,1:0,+,0.969
132,2:1,1:0,+,0.502
133,2:1,2:1,,0.55
134,2:1,2:1,,0.888
135,2:1,2:1,,1
136,2:1,2:1,,0.88
137,2:1,1:0,+,0.911
138,2:1,2:1,,1
139,2:1,1:0,+,0.681
140,2:1,2:1,,1
141,2:1,2:1,,0.983
142,2:1,2:1,,0.964
143,2:1,2:1,,0.91
144,2:1,1:0,+,0.812
145,2:1,1:0,+,0.527
146,2:1,2:1,,0.964
147,2:1,2:1,,0.78
148,2:1,1:0,+,0.678
149,2:1,2:1,,0.783
150,2:1,2:1,,0.58
151,2:1,2:1,,0.58
152,2:1,2:1,,0.812
153,2:1,2:1,,0.975
154,2:1,2:1,,1
155,2:1,2:1,,0.964
1,1:0,1:0,,0.958
2,1:0,1:0,,0.679
3,1:0,1:0,,0.917
4,1:0,1:0,,0.958
5,1:0,1:0,,0.958
6,1:0,1:0,,0.858
